UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
3800,48752,UK,16-03-2020,advice talk neighbour family exchange phone number create contact list phone number neighbour school employer chemist gp set online shopping account po adequate supply regular med order,positive
3801,48753,Vagabonds,16-03-2020,coronavirus australia woolworth give elderly disabled dedicated shopping hour amid covid outbreak,positive
3802,48754,,16-03-2020,food stock one empty please dont panic enough food everyone take need stay calm stay safe,positive
3803,48755,,16-03-2020,ready go supermarket outbreak im paranoid food stock litteraly empty serious thing please dont panic cause shortage,extremely negative
3804,48756,"ÃT: 36.319708,-82.363649",16-03-2020,news region first confirmed covid case came sullivan county last week people flocked area store purchase cleaning supply hand sanitizer food toilet paper good report,positive
3805,48757,"35.926541,-78.753267",16-03-2020,cashier grocery store sharing insight prove credibility commented im civics class know im talking,positive
3806,48758,Austria,16-03-2020,supermarket today didnt buy toilet paper,neutral
3807,48759,"Atlanta, GA USA",16-03-2020,due covid retail store classroom atlanta open walkin business class next two week beginning monday march continue process online phone order normal thank understanding,positive
3808,48760,"BHAVNAGAR,GUJRAT",16-03-2020,corona preventionwe stop buy thing cash use online payment method corona spread note also prefer online shopping home time fight covid,negative
3809,48761,"Makati, Manila",16-03-2020,month hasnt crowding supermarket restaurant however reducing hour closing mall mean everyone using entrance dependent single supermarket,neutral
3810,48762,"Pitt Meadows, BC, Canada ",16-03-2020,due covid situation increased demand food product wait time may longer online order particularly beef share freezer pack thank patience time,extremely positive
3811,48763,Horningsea,16-03-2020,caring community let look le capable village ensure stay healthy bringing shopping door help online shopping self isolation symptom exposed somebody,extremely positive
3812,48764,"Chicago, IL",16-03-2020,dont need stock food ill amazon deliver whatever need amazon,positive
3813,48765,,16-03-2020,adara release covid resource center travel brand insight help travel brand stay uptodate consumer travel behavior trend,positive
3814,48766,"Houston, Texas",16-03-2020,line grocery store unpredictable eating safe alternative find whether avoiding restaurant right,positive
3816,48768,"Ontario, Canada",16-03-2020,mar russia consumer surveillance watchdog reported case high arctic man traveled iran covid observed,neutral
3817,48769,North America,16-03-2020,amazon glitch stymy whole food fresh grocery delivery covid spread weve seen significant increase people shopping online grocery spokeswoman said statement today resulted system impact affecting,extremely positive
3818,48770,"Denver, CO",16-03-2020,arent struggling please consider donating food bank nonprofit demand service increase covid impact job people way life,positive
3819,48771,southampton soxx xxx,16-03-2020,nation inficted covid world must play fair china goverments must demand china adopts new guilde line food safty chinese goverment guilty irosponcible life global scale,extremely negative
3820,48772,Global,16-03-2020,covid coronavirus pandemic impacting consumer shopping behavior purchase decision retail sale according first insight study,neutral
3821,48773,,16-03-2020,amazing cheap deal going help resonable dm u,extremely positive
3822,48774,,16-03-2020,amazing cheap deal going help resonable dm u iptvlinks,extremely positive
3823,48775,Downstage centre,16-03-2020,done ensure food essential product restocked supermarket panic buying actively discouraged left checkout staff police action selfish profiteer,negative
3824,48776,London,16-03-2020,uk poll indicates majority expect impact last month march expect increase next see full result coronavirus consumer confidence tracker,extremely positive
3825,48777,"Ketchum, Idaho",16-03-2020,preparation higher demand potential food shortage hunger coalition purchased percent food implemented new protocol due covid coronavirus,negative
3826,48778,Everywhere You Are!,16-03-2020,morning tested positive covid feel ok symptom far isolated since found possible exposure virus stay home people pragmatic keep updated im panic,extremely negative
3827,48779,"New York, NY",16-03-2020,see malicious price increase nyc nyc department consumer worker protection dcwp set page digitally file complaint click file complaint use wordovercharge,negative
3828,48780,"Someplace, USA",16-03-2020,soon dwindling supply unlawful panicky people breaking closed store amp supermarket raid normally crisis massive amplockup,extremely negative
3829,48781,,16-03-2020,country empty shelf people see buying ensues food stock,negative
3830,48782,,16-03-2020,hole food image nicest grocery store one richest neighborhood united state,extremely positive
3831,48783,"Markham, Ontario",16-03-2020,retail store closure could explode via,neutral
3832,48784,"Virginia, USA",16-03-2020,coronavirus fun fact cough grocery store get whole aisle pretty quickly,extremely positive
3833,48785,"London, England",16-03-2020,sorry say event cancelled due covid health wellbeing attendee speaker staff top priority apology disappointment may cause faq answered link,negative
3834,48786,Sverige,16-03-2020,went supermarket yesterday toilet paper gone anything corona virus,neutral
3835,48787,Where The Wild Things Are,16-03-2020,yes buy need whats point posting photo people supermarket load stuff could buying elderly parent kid sibling etc cant buy everything need viral covid alr,positive
3836,48788,Canada,16-03-2020,worried impact current covid pandemic finance weve published tip help manage money challenging time,positive
3837,48789,,16-03-2020,wife work retailampa customer came yesterday coughing everywhere saying covid requested deep clean store company objected due cost recommending team spray disinfectantampclean gon na dieget sick due capitalism,negative
3838,48790,United States,16-03-2020,go supermarket like without judged,positive
3839,48791,"Fort Worth, Texas",16-03-2020,provide safe shopping experience customer healthy environment associate community online order placed,extremely positive
3840,48792,,16-03-2020,curious think retail shopper lot online shopping bc theyre home unable go think everyone spooked get extra pair shoe,positive
3841,48793,Houston,16-03-2020,check video food usa market due coronavirus panic gon na die starvation,extremely negative
3842,48794,"Vancouver, British Columbia",16-03-2020,breaking story online clothes shopping rise people find mysterious white patch forming clothes,neutral
3843,48795,,16-03-2020,line outside customer wait store open morning,neutral
3844,48796,Midrand,16-03-2020,south african stock food basic good coronavirus panic hit,negative
3845,48797,Drogheda,16-03-2020,please share know someone living struggling get local supermarket due issue around offering free delivery healthy soup nationwide anyone need plus freezable,extremely positive
3846,48798,"Columbia, MO",16-03-2020,people posting sharing photo half completely empty shelf calling people dumb idiot shopping grocery store lol,positive
3847,48799,"Arkansas, USA",16-03-2020,never thought id say come back please,extremely positive
3848,48800,"Washington, DC",16-03-2020,covid restriction sparking run cannabis store theyre closed yet customer stocking cannabis weekend preparing could retail store restriction coming day,neutral
3849,48801,"Washington, DC",16-03-2020,everything seeing current covid outbreak seen previous epidemic pandemic rise fear racism panic buying food medicine conspiracy theory proliferation quack cure,extremely negative
3850,48802,"Ohio, USA",16-03-2020,everyone closed remain open emergency store thank retail worker,neutral
3851,48803,"Ogden, UT",16-03-2020,stock water cause utility company shut middle pandemic school close thier door lose work cause kid go cant afford month worth food,negative
3852,48804,,16-03-2020,dear coronavirus ive following social distancing rule staying home prevent spread however ive spent alarming amount money shopping online submit expense reimbursement let know,positive
3853,48805,,16-03-2020,global food price spread covid intensified across several geography could see downward pressure coming month due continued well supplied market negative impact demand resulting virus,extremely negative
3854,48806,"West Midlands, England",16-03-2020,morning everyone great safe day,extremely positive
3855,48807,"Reno, NV",16-03-2020,thing panic buy emergency dont get toilet paper important youre afraid worst case scenario wash tub use money food yall crazy,extremely negative
3856,48808,San Clemente,16-03-2020,thank grocery clerk went grocery store today looked weary eye clerk thanked realized thrust front line panick new breed first responder working hard serve community,positive
3857,48809,,16-03-2020,outbreak covid entire world retail shop malaysia facing great challenge near future online shopping surprise way people many lost job,extremely positive
3858,48810,,16-03-2020,thought impact coronavirus food market,neutral
3859,48811,"Spokane Valley, WA",16-03-2020,consumer corner taking advantage fear,negative
3860,48812,Drifter ,16-03-2020,mask made medical personnel consumer purchase require onceobscure material called meltblown fabric,neutral
3861,48813,"Hamilton, Ontario",16-03-2020,work capitalizing demand packaged food making u stay open opposed closing health safety,positive
3862,48814,"Dallas, TX",16-03-2020,feeling like ethical still stuff like order delivery food online shopping etc ship isolation care package loved one etc,extremely positive
3863,48815,Boston,16-03-2020,k consumer told pymnts covid changed daily life via,neutral
3864,48816,,16-03-2020,bought house covid panic didnt think buy food house tragic,extremely negative
3865,48817,The European Union,16-03-2020,seen facebook group business need stop increasing price essential emergency situation frankly despicable totally void community spirit uk,negative
3866,48818,"London, England",16-03-2020,sadly misinformed thinking covid give diarrhoea therefore stockpile toilet paper atm hygiene food important,negative
3867,48819,Melissa Schuman is a Liar ??,16-03-2020,yeah parent risky people covid thats stay home go supermarket really necessary stay safe,positive
3868,48820,"Canvey Island, Essex, UK",16-03-2020,cn group mum live group need shielded week month mean staying hope still get online shopping need,positive
3869,48821,NCSU,16-03-2020,kind like saying word make sound like word anymore many people dont think covid news b making go store panic buy food basic necessity there nothing left,neutral
3870,48822,,16-03-2020,hi covid thanks making online shopping,positive
3871,48823,,16-03-2020,corona scare sends seafood price skyrocketing mumbai gtgt,neutral
3872,48824,"Morgantown, WV",16-03-2020,pausing student loan payment addition halting interest accumulation amp stopping punitive student loan collection would provide much needed immediate relief individual unable work amp facing economic hardship,neutral
3873,48825,,16-03-2020,consumer side tech chinese group already demostrated elisa test strip covid though detail lacking consumer though would deem waived test doesnt come easily,positive
3874,48826,MA & New England by way of CA,16-03-2020,lost wage either due illness virus economic impact mean increased demand urge support bill includes support food bank flexibility school meal increased,extremely positive
3875,48827,"Napa, Ca",16-03-2020,action selfish ceo grocery store would time people shop show id saw young couple roll tp one full crap well maybe,extremely negative
3876,48828,New York City,16-03-2020,coronavirus pose complex puzzle fooddelivery company delivery capacity may buckle surging demand via,negative
3877,48829,Cornwall England,16-03-2020,disgusting disgraceful charging inflated price item stopping spread covid government really need something abou,extremely negative
3878,48830,"Boston, MA",16-03-2020,retailer close physical store curtail hour result covid agoing put additional pressure omnichannel alternative like grocery delivery curbside pick,positive
3879,48831,"Whittier, CA",16-03-2020,check folk cal like idea la habra supermarket offer special hour senior amid covid crisis,positive
3880,48832,Great Wakering Essex,16-03-2020,love hate head advice amp blip life happening dont whinge cant dont panic buy food wont run spend time family use common sense,positive
3881,48833,"Andersonville, Chicago, IL",16-03-2020,open letter consumerdebt holding organization others precipice crisis household economy please suspend debt interestfees sixty day response covid crisis feel free sign,extremely negative
3882,48834,"Sydney, Australia",16-03-2020,wanted spread news older australian particularly still mobile without family support,negative
3883,48835,"Boston, MA",16-03-2020,sadly surprise heard one payer exec laying low hoping blow mind bogglingly stupid nonprofit blue plan,extremely negative
3884,48836,"Barnsley, England",16-03-2020,work retail keep stock back older customer frank come store bread see empty shelve say dont worry pal ive saved pat n bean could get disciplined yes care ive got,positive
3885,48837,"Bangkok, Thailand",16-03-2020,attempt lengthen runway marketing budget slashed hiring frozen staffing matrix redrawn dive deep consumer startup battling impact business,negative
3886,48838,"Windsor, Ontario, Canada.",16-03-2020,time distillery remains operation offering public tour hosting function event retail store also closed,neutral
3887,48839,"Los Angeles, mostly",16-03-2020,please dont hoard food water there absolutely need panic buy supply chain completely interrupted please dont hoard sanitizing product people really need probably,negative
3888,48840,,16-03-2020,fact canned food toxic chemical store bought hand sanitizers stock yet fresh fruit vegetable herb fully stocked show human idea immune system work,extremely positive
3889,48841,"Houston, TX",16-03-2020,called mum dad uk great offered help online shopping etc might sometimes forget always easy far parent like tech really useful,extremely positive
3890,48842,KDH,16-03-2020,people seen stocking good trolley panic buying rumour spread today hypermarket kajang march picture shafwan zaidon,negative
3891,48843,"Worcester, Massachusetts",16-03-2020,often see major news event criminal try take advantage situation coronavirus covid exception guidance attorney general office,negative
3892,48844,"Leicester, England",16-03-2020,pretty sure within week two supermarket supply chain dry county effected covid possibly go lockdown would government introduce form rationing people eat somehow dont think,extremely positive
3893,48845,"Adelaide, South Australia",16-03-2020,supermarket worker frontline covid extraordinary time retail extreme pressure shopping please remain calm thank worker everything keep shelf stocked checkout moving,positive
3894,48846,FREE goal setting guide ??,16-03-2020,worried covid worried people panicking plan gt youre panic buying food gt focus important issue gt best opportunity positive outcome create structure reduce key decision flourish stay safe,extremely positive
3895,48847,"Washington, DC",16-03-2020,biggest supermarket chain united state employee many receive sick leave even employee tested positive covid still wont provide paid sick leave everyone,positive
3896,48848,"Washington, DC",16-03-2020,instead paid sick leave providing week paid leave people test positive covid placed mandatory quarantine insufficient protect staff public especially little testing av,positive
3897,48849,San Joaquin Valley CA,16-03-2020,followed went shopping day ago pain necessary protect grocery shopping consumer report,positive
3898,48850,Planet Earth,16-03-2020,took picture today home grocery store montgomery county md flour sugar sweet potato potato orange juice paper towel toilet paper low meat mac amp cheese,negative
3899,48851,"Portsmouth, England",16-03-2020,hate grocery shopping general swear im online next shop deal swathe panic buyer,extremely negative
3900,48852,"London, UK and....",16-03-2020,rapid delivery food order made since slot elsewhere week seemed fine email listing stock deliverone bottle orange juice,negative
